Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/15,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",5/3/16,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",,796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/76,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/14,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/07,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/16,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/16,915913
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",,4281
AGN,Allergan plc,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",4/3/14,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",11/18/05,1018724
AEE,Ameren Corp,Utilities,MultiUtilities,"St. Louis, Missouri",9/19/91,1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/76,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272
AMT,American Tower Corp A,Financials,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",,1140859
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",9/30/08,820313
