vec_len,category,dist_fn,top_n,n,min,max,mean,std,med
050,abstract,cosine,10,35978,0.00000,0.52044,0.06971,0.03821,0.06223
050,abstract,euclidean,10,35978,0.00000,85.18216,13.54444,4.73477,12.54129
050,abstract,cosine,1,35978,0.00000,0.31261,0.05395,0.03267,0.04679
050,abstract,euclidean,1,35978,0.00000,63.60818,11.55985,4.34808,10.67708
050,abstract,cosine,5,35978,0.00000,0.43726,0.06385,0.03603,0.05652
050,abstract,euclidean,5,35978,0.00000,67.10439,12.83352,4.56953,11.87408
050,monetary_credit_duration,cosine,10,78397,0.00008,0.46089,0.04165,0.02762,0.03511
050,monetary_credit_duration,euclidean,10,78397,1.41421,378.87598,17.89014,6.47150,16.76637
050,monetary_credit_duration,cosine,1,78397,0.00008,0.43235,0.03249,0.02355,0.02704
050,monetary_credit_duration,euclidean,1,78397,1.41421,293.10406,14.84375,5.13462,14.01277
050,monetary_credit_duration,cosine,5,78397,0.00008,0.44542,0.03823,0.02606,0.03213
050,monetary_credit_duration,euclidean,5,78397,1.41421,343.07288,16.77229,5.84612,15.76452
050,monetary_credit_point,cosine,10,20307,0.00000,0.40537,0.04177,0.03433,0.03286
050,monetary_credit_point,euclidean,10,20307,0.00000,252.75087,17.85014,8.26878,16.27882
050,monetary_credit_point,cosine,1,20307,0.00000,0.30588,0.03285,0.02898,0.02523
050,monetary_credit_point,euclidean,1,20307,0.00000,104.08650,14.80305,5.71275,13.71131
050,monetary_credit_point,cosine,5,20307,0.00000,0.38985,0.03847,0.03231,0.03014
050,monetary_credit_point,euclidean,5,20307,0.00000,212.65465,16.66357,6.84326,15.26434
050,monetary_debit_duration,cosine,10,69922,0.00011,0.36827,0.04228,0.02884,0.03528
050,monetary_debit_duration,euclidean,10,69922,1.85405,349.51538,17.40055,5.69044,16.34014
050,monetary_debit_duration,cosine,1,69922,0.00011,0.30258,0.03296,0.02439,0.02717
050,monetary_debit_duration,euclidean,1,69922,1.85405,197.95454,14.55964,4.55783,13.74773
050,monetary_debit_duration,cosine,5,69922,0.00011,0.35527,0.03881,0.02716,0.03219
050,monetary_debit_duration,euclidean,5,69922,1.85405,330.97430,16.35190,5.17243,15.38774
050,monetary_debit_point,cosine,10,16444,0.00000,0.34790,0.03842,0.03270,0.02882
